id,domain,sentence,option_A,option_B,option_C,option_D,true_label,predicted_label,raw_model_response,correct,model,timestamp
9,Workplace / Corporate,It seems like we're focusing on form over substance lately.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
11,Workplace / Corporate,We're spreading ourselves too thin with these new initiatives.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
12,Workplace / Corporate,"Communications have been vague, and it's affecting progress.",Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
13,Workplace / Corporate,The meeting agenda didn't address the main concerns we raised.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
14,Workplace / Corporate,Our resources seem misallocated on this phase of the project.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
15,Workplace / Corporate,The response time from support has been impacting our output.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
16,Workplace / Corporate,It feels like we're going in circles with the revision process.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
17,Workplace / Corporate,That's definitely the most straightforward approval process I've seen.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
19,Workplace / Corporate,This plan won't disrupt our workflow at all.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
23,Workplace / Corporate,Taking on two extra projects shouldn't complicate our schedule.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
25,Workplace / Corporate,I'm glad you trust me to handle the consequences of that decision.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
29,Workplace / Corporate,I didn't realize 'as soon as possible' meant 'yesterday'.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
30,Workplace / Corporate,It's reassuring to know deadlines are always subject to change.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
39,Social Media / Online,Watching misinformation spread unchecked is exhausting.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
40,Social Media / Online,Constant self-promotion in comments feels inauthentic.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
41,Social Media / Online,I find the echo-chamber effect in these spaces disheartening.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
42,Social Media / Online,It's frustrating when people jump to conclusions without context.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
54,Social Media / Online,I appreciate being invited into this debate at the end.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
55,Social Media / Online,Thanks for assuming I'm free to join your livestream right now.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
56,Social Media / Online,I see my suggestion was acknowledged after all the replies.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
57,Social Media / Online,Thanks for the elaborate thread summarizing a two-minute video.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
58,Social Media / Online,I'm glad my carefully written comment was lost among the GIFs.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
